geneid,moDC-2811_S3_001,moDC-3941_S6_001,moDC-4540_S9_001,moDC-4771_S12_001,mono-2811_S2_001,mono-3941_S5_001,mono-4540_S8_001,mono-4771_S11_001,tolDC-2811_S4_001,tolDC-3941_S7_001,tolDC-4540_S10_001,tolDC-4771_S13_001
NUP98,16.2482,19.9174,17.4089,16.351,39.2796,18.4221,14.9826,15.0239,15.6218,18.9581,18.4497,14.4887
PGAP2,1.3039,3.6283,2.4863,2.6748,2.9168,3.7074,2.7885,2.9632,1.2073,2.3168,1.1814,2.1983
RHOG,32.6389,34.8106,36.5057,21.1392,60.5191,77.2202,64.8204,67.1036,23.0699,24.9294,22.5088,27.9074
STIM1,9.4253,9.333,10.1233,7.6648,8.055,8.4918,9.891,10.4125,8.2305,8.1911,8.0231,7.6299
MI0017319,0,0,0,0,0,0,0,0,0,0,0,0
RRM1,8.2773,7.2992,7.5832,7.9682,1.3103,1.3099,3.8762,1.8119,7.0891,6.7386,6.7398,12.2345
LOC100506082,0,0,0.2055,0,0.4242,0,0,0,0,0,0,0
OR52B4,0,0,0,0,0,0,0,0,0.0716,0,0,0
TRIM21,14.6628,13.6929,15.5115,15.3531,1.872,4.1477,5.8886,4.8026,9.3897,6.8097,8.9334,9.4514
OR52K2,0,0,0,0.1354,0,0.7141,0.1145,0,0,0,0,0
OR52K1,0,0,0,0,0,0,0.1186,0,0.0782,0,0,0
OR52M1,0,0,0,0,0,0,0,0,0,0,0.0516,0
C11orf40,0,0,0,0,0,0,0,0,0,0,0,0
OR52I2,0,0,0,0,0,0,0,0,0,0,0.0442,0
OR52I1,0,0,0,0,0,0,0,0,0,0.0858,0.101,0
TRIM68,1.9509,2.7395,2.5159,2.5071,0.4536,0.5304,0.8789,0.5102,2.2935,2.48,2.6763,3.1505
OR51D1,0,0,0,0.1285,0,0,0,0,0,0.0744,0,0
OR51E1,0,0,0,0,0,0,0,0,0,0.027,0.0159,0
OR51E2,0,0,0,0,0.1365,0,0,0,0,0.0869,0,0
OR51F1,0,0,0,0,0,0,0,0,0,0,0,0
OR52R1,0,0,0,0,0,0,0,0,0.0849,0,0,0
OR51F2,0,0,0,0,0,0,0,0,0,0.0813,0.0957,0
OR51S1,0.0713,0,0,0,0,0,0,0,0,0,0,0
OR51T1,0,0,0,0,0,0,0.1147,0,0,0,0,0
OR51A7,0,0,0,0.1539,0,0,0,0,0,0,0,0
OR51G2,0,0,0,0.1529,0,0,0,0,0,0,0,0
OR51G1,0,0,0,0,0,0,0,0,0,0,0,0
OR51A4,0,0,0,0,0,0,0,0,0,0.0888,0,0
OR51A2,0,0,0,0,0,0,0,0,0,0,0,0
MMP26,0,0,0,0,0,0,0,0,0,0,0,0
OR51L1,0,0,0,0,0,0,0,0,0,0,0,0
OR52J3,0,0,0,0,0,0,0,0,0,0,0,0
OR52E2,0.0709,0,0,0,0,0,0,0,0,0,0.0503,0
DQ656008,0,0,0,0,0,0,0,0,0,0,0,0
OR52A5,0,0,0.0968,0,0,0,0,0,0,0,0,0
OR52A1,0,0,0,0,0,0,0,0,0,0,0,0
OR52Z1,0,0,0,0,0.429,0,0,0,0,0,0,0
OR51V1,0,0,0,0,0,0,0,0,0,0,0,0
CoTC_ribozyme,0,0,0,0,0,0,0,0,0,0,0,0
HBB,0.5537,0,0.4412,0,17.6093,5.0719,0.3902,0.683,0.7716,0.401,0.1573,0
DL074624,0,0,0,0,0,0,0,0,0,0,0,0
HBD,0.8957,0.1063,0.4758,0,0,0,0,0,1.9761,0.8648,0.2544,0.2982
HBBP1,0,0,0,0,0,0,0,0,0,0,0,0
HBG1,0.1187,0,0,0,0,0,0.2905,0,0.1378,0,0,0
HBG2,0,0,0,0,0,1.8387,0.4561,0,0,0,0,0
HBE1,0,0,0,0,0,0,0.1473,0,0,0,0,0
OR51B4,0,0.0882,0,0,0,0.1361,0,0,0,0,0,0
OR51B2,0,0,0,0,0,0,0,0,0,0.1586,0,0
OR51B5,0,0,0,0,0,0,0,0,0,0,0,0
OR51B6,0,0,0,0,0,0,0,0,0,0,0,0
OR51M1,0,0,0,0,0,0,0,0,0.0761,0,0,0
OR51Q1,0,0,0,0.2636,0,0.1159,0,0,0,0,0,0
OR51I1,0,0,0,0,0.1878,0,0,0,0,0,0,0
OR51I2,0,0,0,0,0,0,0,0.1332,0,0,0,0
OR52D1,0.0652,0,0,0,0.3573,0,0,0,0,0.0786,0,0
UBQLN3,0,0,0,0,0.0966,0,0,0,0.0409,0,0,0
UBQLNL,0,0.0353,0,0.0619,0.2443,0,0,0,0,0.0358,0,0
OR52H1,0,0,0,0,0,0.1319,0,0,0,0,0,0
OR52B6,0,0,0,0,0.1886,0.126,0,0,0,0.083,0,0
TRIM6,0.3218,0.9359,0.5347,0.2681,0.0668,0.0471,0.3486,0,0.2741,0.4509,0.2498,0.2143
TRIM6-TRIM34,0,1.8077E-40,0,0,0,0,0,0,0,5.6052E-45,0,0
TRIM34,10.6496,11.2013,11.0461,12.9473,1.3141,6.96,8.2201,6.6859,10.4069,11.7512,10.9121,10.4716
TRIM5,7.7264,8.9807,9.2324,8.5038,1.5848,3.3603,4.7689,3.7123,6.0257,6.4222,6.5302,6.5956
TRIpartite motif protein,0.3984,0.1847,0.7876,0.6169,0.6503,0,0,0,0.2693,1.2551,0.3444,0.2278
TRIM22,30.8603,26.436,35.7744,55.4321,32.7136,47.2909,56.2691,48.5933,37.8736,32.5062,44.3308,37.8537
OR56B1,0,0,0,0,0.1742,0,0,0,0,0,0.0903,0
OR52N4,0,0.0793,0,0,0.1833,0,0.2356,0,0.1553,0.0807,0.095,0
OR52N5,0,0,0,0,0,0,0,0,0.0779,0,0,0
OR52N1,0,0,0,0,0,0,0.1268,0,0,0,0,0
OR52N2,0,0,0,0,0,0,0,0,0,0,0,0.1195
OR52E6,0,0,0,0,0,0,0,0,0,0.0888,0,0
OR52E8,0,0,0,0.1514,0,0,0,0,0,0,0,0
OR52E4,0,0,0,0,0,0,0,0,0,0,0,0
OR56A3,0,0,0,0,0,0.134,0,0,0,0,0,0
OR56A5,0,0,0,0,0,0,0,0,0,0,0,0
OR52L1,0,0,0,0,0,0,0,0,0,0,0,0
OR56A4,0,0,0,0,0,0,0,0,0.0733,0.1524,0,0.1051
OR56A1,0,0,0,0,0.1775,0,0,0,0,0,0.046,0
OR56B4,0,0,0,0.1505,0,0,0,0,0,0.0872,0,0
OLFR690,0.0764,0.0907,0,0.1593,0,0,0.1347,0,0,0.0922,0,0
OR52B2,0,0,0,0,0,0,0,0,0,0.0861,0,0
OR52W1,0.072,0,0.0956,0,0.5921,0.3956,0.6342,0,0,0,0,0
C11orf42,0.1213,0.072,0,0.1264,0.6651,0.4444,0.1069,0,0.1409,0.0732,0,0.101
FAM160A2,4.0948,2.7189,3.2779,5.0148,14.1222,9.4405,11.4568,9.2345,4.1669,3.5443,3.5165,4.1354
CNGA4,0.0405,0,0.0269,0.0422,0.0555,0,0.0639,0.0833,0.0705,0,0,0
CCKBR,0,0,0,0,0,0.0531,0,0,0,0.035,0,0
PRKCDBP,6.752,3.7294,6.4811,2.5077,0.3666,1.9595,2.2379,0.4123,3.8038,1.2103,3.2286,2.6706
SMPD1,12.1518,16.752,16.5539,18.3893,4.4623,4.8098,4.8218,3.8519,11.0619,13.8307,12.3328,8.5289
APBB1,0.7503,0.0366,0.2247,0.3249,5.6827,1.547,1.4852,1.7535,1.8917,0.2875,0.3104,0.4325
HPX,0,0,0,0.0901,0,0.0792,0,0.0889,0,0,0,0.1211
TRIM3,1.4603,1.5709,1.7758,1.6836,2.1091,1.5913,1.7656,1.3566,1.2687,1.2584,1.3616,1.2942
ARFIP2,4.2724,5.0016,4.6655,5.5402,3.2036,3.573,3.326,3.2952,6.3017,6.5706,5.9653,5.7665
TIMM10B,13.3742,13.9054,15.2179,12.3018,14.2662,7.373,9.5539,7.9063,13.3784,16.1105,13.9787,11.4092
DNHD1,1.0071,1.7574,1.4956,3.576,4.2258,2.5146,2.4926,2.3549,1.4619,2.4166,1.7082,1.8816
RRP8,5.4636,4.8403,5.4157,5.1979,3.1477,3.4814,3.2785,2.5233,5.8847,5.6384,4.6115,4.1517
ILK,24.4712,33.6901,28.8788,23.695,15.3673,30.2937,27.4443,23.1888,27.6105,35.8082,27.129,26.3766
TAF10,28.5954,30.6178,29.5245,25.4634,23.4956,32.7991,28.8532,31.4014,24.2389,24.5783,18.8627,29.095
TPP1,36.3942,34.7259,33.1274,38.4004,33.2689,34.7261,32.1029,23.1095,24.8617,39.0624,37.3106,27.9285
BC038382,0,0.0517,0.048,0.1061,0,0,0,2.4402E-07,0,0,0,0.0848
DCHS1,0.0064,0.0088,0.0196,0,0.1768,0.3544,0.2272,0.2121,0.015,0,0.0092,0
MRPL17,7.0907,9.3901,9.5725,6.7167,0.482,1.5566,2.736,2.1084,10.0371,11.0332,9.9887,12.0463
GVINP1,0.7426,0.4487,0.3164,0.7953,0.6314,1.8111,1.8794,0.7347,0.912,0.3354,0.3467,0.2438
OR2AG2,0,0,0,0,0,0,0,0,0,0,0,0
OR2AG1,0,0,0,0,0,0,0,0,0,0.0838,0,0
OR6A2,0,0,0,0,0,0,0.0883,0.103,0,0,0,0
OR10A5,0.0727,0,0,0,0,0,0,0,0,0,0,0
OR10A2,0,0,0,0.1584,0.2084,0,0,0,0,0,0,0
OR10A4,0,0,0.0925,0.1452,0,0.1276,0,0,0.0809,0,0,0
OR2D2,0,0,0,0,0,0,0,0,0.0868,0.0903,0,0
OR2D3,0,0.0829,0.0927,0,0,0,0,0,0,0,0.0496,0
ZNF215,0.0758,0,0,0,0.1279,0.037,0.0356,0,0.325,0,0.014,0
ZNF214,0,0,0.0345,0,0.1426,0.0477,0,0,0.0603,0.0942,0.0185,0
NLRP14,0,0,0,0,0,0.0332,0,0,0,0,0.0129,0
JB175177_2,0,0,0,0,0,0,0,0,0,0,0,0
RBMXL2,0,0,0,0,0,0,0,0,0,0,0,0
MI0006417,0,0,0,0,0,0,0,0,0,0,0,0
SYT9,0.0406,0.0482,0,0,0,0.0372,0.0358,0,0.0236,0.0491,0,0
AK128569,0.2881,0.0973,0,2.7307E-40,0,0.4367,0.2365,0.2281,0.268,0.2193,0.219,0.6559
BC040358,2.1812,0.3459,0.3498,1.7437,0.2974,0.1619,0.3485,0.5949,4.4803,1.1766,1.3644,2.2087
OLFML1,0,0.0659,0.0369,0.0578,0.4565,0.3559,0.0978,0.1712,0.0645,0.1675,0.0591,0.1386
PPFIBP2,8.5758,9.4936,9.7706,8.7545,9.2774,5.249,5.486,4.0862,8.2888,8.2289,8.5792,7.2382
CYB5R2,0.6777,0.4273,0.0683,0.3547,0.6408,1.5373,0.1,0.5878,0.8958,0.4345,0.2186,0.2871
OVCH2,0,0,0,0,0,0,0,0,0,0,0,0
PJCG1,0,0,0,0,0,0,0.1611,0,0,0.1104,0,0
OR5P2,0,0,0,0,0,0,0,0,0,0,0,0
OR5P3,0,0,0,0,0,0,0,0,0,0,0,0
OR5E1P,0.1331,0,0,0,0,0,0,0,0,0.1606,0,0
LOC283299,0,0,0,0,0.0759,0,0,0,0.0322,0,0,0
U6_93,0,0,0,0,0,0,0,0,0,0,0,0
OR10A6,0,0,0,0,0,0,0,0,0,0,0,0
OR10A3,0,0,0,0,0,0,0,0,0,0,0,0.1221
NLRP10,0,0,0,0,0,0,0,0,0.0399,0,0,0
EIF3F,43.2857,34.3211,36.3552,46.8945,38.6004,72.9924,75.0009,81.731,59.2003,43.5863,49.6895,64.0043
BC027619,0,0,0,0,0.1216,0,0,0,0,0.1071,0,0
TUB,0.0114,0,0,0,0,0.0209,0,0,0.0132,0.0137,0,0.019
AK055772,0,0,0,0.0715,0,0,0,0,0.0398,0,0,0
RIC3,0.0358,0,0,0,0.0722,0.2222,0,0.0243,0.1132,0,0,0
LMO1,0,0,0,0,0,0,0,0,0.062,0.0589,0,0
STK33,0,0,0,0,0.1664,0.0638,0,0.0716,0,0,0,0
SCARNA20,0,0,0,0,0,0,0,0,0,0,0,0
TRIM66,0.3696,0.3712,0.5695,0.5763,0.1169,0.2099,0.6636,0.3534,0.2063,0.3517,0.1868,0.4141
BC068088,0.6327,0.2146,0.3601,0.1884,0.7434,0.3312,0.1592,0.7433,0.2099,0.3273,0.1926,0.3009
RPL27A,127.3678,80.4133,100.5019,123.7717,119.9798,156.439,178.0158,177.4366,177.9463,100.8347,155.5684,178.5384
SNORA3_2,0,0,0,0,0,0,0,0,0,0,0,0
SNORA45,0,0,0,0,0,0,0,0,0,0,0,0
ST5,3.2777,3.1579,2.5308,5.0256,0,0.2227,0.3198,0.0513,2.0153,3.1452,1.7748,1.385
5S_rRNA_66,0,0,0,0,0,0,0,0,0,0,0,0
AKIP1,17.7371,19.0007,17.3179,19.2778,1.9266,4.4259,5.61,5.6282,15.8432,19.3467,13.6623,18.1897
C11orf16,0,0,0,0.075,0,0.0746,0,0,0,0.0983,0,0
ASCL3,0,0,0,0,0,0,0,0,0,0,0.0902,0
TMEM9B,51.3799,61.1691,54.1775,61.3526,14.5342,33.9706,39.8923,49.818,38.3481,51.7309,43.8034,40.0767
TMEM9B-AS1,0.79,0.3907,1.0492,1.7836,1.2634,1.5679,1.8559,2.1657,0.5351,0.4767,0.9819,1.8629
NRIP3,5.547,7.5589,3.0214,3.186,17.3559,7.6528,3.9305,4.4178,5.3403,6.8568,1.7556,5.0153
SCUBE2,0.1343,0.0266,0.0594,0.3264,0,0.082,0.0302,0.138,0.1039,0.1228,0.0109,0.0372
MI0019296,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P41,0,0,0,0.079,0,0,0,0,0,0.0915,0.0269,0
DENND5A,16.0189,15.849,13.4919,20.9599,42.3268,33.4029,31.2243,27.2234,23.5255,23.1643,20.0248,22.9973
TRNA_Leu_11,0,0,0,0,0,0,0,0,0,0,0,0
TMEM41B,17.9839,15.3941,19.5687,29.3921,10.3543,5.0119,7.1981,5.8835,14.8222,14.3132,16.677,15.908
IPO7,29.725,24.9168,27.0015,28.1846,7.6736,10.1526,11.7367,8.2405,34.4,28.876,35.3604,32.8731
SNORA23,83.9967,66.6119,39.9444,50.4496,257.4342,164.6287,135.7114,166.6593,97.5379,26.5615,84.9252,51.285
LOC644656,4.0637,4.1035,4.0274,4.5502,12.8036,10.8888,10.0448,9.4769,2.6059,5.4901,8.4429,10.7012
ZNF143,7.6537,8.7487,9.4876,5.4933,5.1601,5.9494,7.1299,5.0805,7.9461,7.0998,8.5235,9.5538
DM376721,0,0,0,0,0,0,0,0,0,0,0,0
DM376720,0,0,0,0,0,0,0,0,0,0,0,0
DM376719,0,0,0,0,0,0,0,0,0,0,0,0
WEE1,0.6175,0.4179,0.1693,0.9617,4.0103,1.7566,0.6655,0.8011,0.8455,0.3131,0.1744,2.3912
SWAP70,19.8207,17.6956,23.4214,22.327,12.3872,13.6208,8.3655,7.111,14.2144,13.2729,13.7179,11.0856
LOC440028,0.06,0.1424,0.0398,0.1875,0.1645,0.4396,0.0529,0,0.1045,0.0724,0.1491,0.0499
SBF2-AS1,2.7223,2.8563,3.5161,3.2183,1.1286,1.4614,0.9518,0.3684,4.2332,3.2237,4.1531,4.0209
BC073899,0.121,0,0,0.2521,1.2003,0,0.345,0.2487,0.281,0,0,0
SBF2,6.4752,6.7582,5.6858,7.7687,27.4039,13.7725,13.7589,12.8931,7.1969,7.612,6.5513,8.9466
U80769,0,0,0,0,0.6498,0.4342,0,0,0.1376,0.143,0,0
ADM,2.6792,5.9059,6.608,3.3899,182.8448,76.9533,32.3684,51.3454,3.0556,0.9816,9.684,39.7379
EF537580,0,0,0,0,0,0,0,0,0,0,0,0
AMPD3,3.1974,0.9751,1.5725,1.3124,2.3398,4.4974,4.9951,3.7004,1.1669,1.0475,0.7503,1.4841
MTRNR2L8,0.2687,0.0638,0.1427,0.112,0.442,0.2953,0.4734,0.6629,0,0.0649,0.0763,0.0895
MI0016846,0,0,0,0,0,0,0,0,0,0,0,0
DQ582265_2,0,0,0,0,0,0,0,0,0,0,0,0
JB137816_2,0,0,0,0,0,0,0,0,0,0,0,0
RNF141,7.4359,8.3011,7.0561,10.1171,8.5163,14.5844,18.1554,17.4844,6.0119,7.7646,6.2208,6.6398
MRVI1-AS1,0,0,0,0,0,0.2039,0,0.4576,0,0,0,0
LYVE1,0,0,0,0,0,0,0.1116,0,0,0.0382,0,0
MRVI1,0.0241,0.0286,0,0.0251,0.5621,1.0826,2.071,0.5703,0,0.0146,0,0
CTR9,15.6057,14.7804,14.3795,14.0815,3.8815,4.8041,7.3698,6.3507,12.4048,13.2814,12.7974,11.1937
EIF4G2,110.9397,140.1785,132.1614,97.3418,118.3832,116.1612,123.6398,123.2291,106.158,143.518,138.5719,80.1736
SNORD97,0,0,0,0,0,0,0,0,0,0,0,0
BC026354,6.4011E-33,0.1914,3.832E-36,0.0348,2.0832E-40,2.2969E-38,0,2.2213E-37,0.046,0.1413,1.5854E-32,0.0278
ZBED5,11.2697,10.1303,10.4609,10.2863,12.4728,9.8171,12.8092,9.0144,11.1516,12.37,10.7359,9.8343
ZBED5-AS1,3.8186,5.323,6.5349,7.5285,0.7227,2.3962,3.2922,4.2259,3.6164,4.617,4.6306,3.525
AK056982,1.8079,1.7759,1.9871,2.9881,0,0,0,0.1282,1.8098,2.1068,3.4093,1.1415
GALNT18,1.3231,12.2037,10.9455,4.1933,0,0,0.34,0,0.2561,5.6555,5.7947,4.2211
CSNK2A3,0.2343,0.4322,0.2204,0.1623,0,0,0.1519,0,0,0.2065,0.236,0
MI0015829,0,0,0,0,0,0,0,0,0,0,0,0
MI0025906,0,0,0,0,0,0,0,0,0,0,0,0
USP47,10.3364,10.7408,11.6181,12.9719,13.4851,9.6281,8.2915,7.6493,9.2922,9.6327,11.0543,10.7503
DKK3,0.0281,0.0334,0.0748,0,0,0.1031,0.0496,0.1157,0.0654,0.034,0.06,0.0468
MICAL2,7.0844,6.7516,9.9646,7.7116,4.4022,8.7584,14.558,13.2895,5.1402,5.6414,4.4882,6.3597
MI0021258,0,0,0,0,0,0,0,0,0,0,0,0
AK026905,0.3641,0.2542,0.3982,0.4909,0.411,1.0201,1.0565,1.5851,0.3482,0.517,0.4107,0.3208
MICALCL,0.4555,0.1352,0.4537,0.8543,2.7472,1.5437,1.5649,1.4047,0.2909,0.4123,0.3073,0.5307
PARVA,0,0.0189,0.0106,0.0497,0.0218,0,0,0,0.0419,0.0776,0.0404,0.2934
DD413619,0,0,0,0,0,0,0,0,0,0,0,0
TEAD1,0,0.0298,0,0.0174,0.0229,0.0153,0,0,0.0291,0.0101,0.0178,0
SCARNA16,0,0,0,0,0,0,0,0,0,0,0,0
LOC100506305,0.0445,0,0,0,0,0.0815,0,0,0,0.161,0,0
RASSF10,0,0,0,0,0,0,0,0,0,0,0,0
ARNTL,9.3537,8.4679,9.6532,8.0125,17.2821,6.2247,8.4019,4.5563,8.1518,10.7516,10.08,6.8815
7SK_68,0.2194,0,0,0,0,0.8038,0.773,0.451,0,0,0,0.7303
BTBD10,10.3231,9.011,11.003,11.006,2.0228,4.2082,5.5146,2.844,9.9518,8.0682,8.5781,7.186
PTH,0,0,0,0,0,0,0,0,0,0,0,0
FAR1,32.8241,26.6745,36.646,42.0577,40.3228,19.4743,24.0809,21.006,22.0442,21.9802,22.8579,23.6248
SPON1,0,0.016,0,0.0281,0,0.0247,0,0.0278,0.0157,0.0326,0,0
5S_rRNA_67,0,0,0,0,0,0,0,0,0,0,0,0
RRAS2,0.1699,0.0403,0,0.0708,0,0.1754,0,0.1215,0.2745,0.082,0,0.1131
COPB1,47.9645,58.2633,46.4156,46.7946,26.4097,18.8996,22.0732,18.3772,43.398,58.5825,43.5692,41.3522
U7_23,0,0,0,0,0,0,0,0,0,0,0,0
PSMA1,75.0239,89.3875,95.7037,90.8779,48.923,63.3476,77.2097,77.9311,76.1936,80.2496,81.8697,84.0911
PDE3B,22.8076,31.914,27.9876,22.904,4.1848,4.214,5.1968,3.4415,11.3983,21.4423,15.2439,10.6131
CYP2R1,3.4129,3.489,4.1428,5.5742,1.7098,2.2648,2.4047,1.9137,4.2747,5.1775,4.8144,8.1919
CALCA,0.0433,0,0,0,0,0,0,0,0,0,0,0
CALCB,0,0,0,0,0,0,0,0,0,0.0813,0,0
INSC,0.0255,0.0303,0.0339,0,0,0,0,0.0525,0.0296,0,0,0.085
SnoMBII_202,0,0,0,0,0,0,0,0,0,0,0,0
SOX6,0.0919,0.0093,0.0435,0.0356,0.1286,0.1655,0.0689,0.1125,0.0545,0.0189,0.0722,0.0651
MI0020350,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP_54,0,0,0,0,0,0,0,0,0,0,0,0
C11orf58,42.518,46.6215,39.8109,47.8782,18.1463,29.6119,31.425,29.0785,43.972,47.8888,45.0915,45.5477
AL833346,0.0614,0.0243,0,0.0853,0,0.0749,0.0721,0,0.1663,0.1234,0.1889,0.3064
PLEKHA7,0.4221,0.2639,0.1527,0.202,0.3543,0,0.1707,0.0664,0.9186,0.8577,1.3331,2.657
OR7E14P,0,0,0,0,0,0,0,0,0,0,0,0
RPS13,710.9393,557.7981,524.0333,576.2388,652.8109,1135.5513,1224.4038,1411.5358,1122.9008,730.4015,974.2908,1081.4933
SNORD14,0,0,0,0,0,0,0,0,0,0,0,0
PIK3C2A,8.815,10.1869,9.466,10.4766,21.4522,12.5642,13.9633,10.7485,9.9188,14.1669,12.7034,13.7035
NUCB2,4.3579,4.0623,4.1065,6.0046,4.9903,9.6962,9.1554,8.6338,4.4601,6.5255,5.2435,14.3837
AK096475,0.1065,0.071,0,0.1775,0.3502,0.2858,0.2251,0.394,0.2219,0.0771,0.1338,0.4962
NCR3LG1,6.8651,5.8278,6.1166,5.0254,1.5486,0.8358,1.7799,1.3176,4.5157,7.2237,7.7071,5.2434
KCNJ11,0.0252,0,0.1002,0.1694,0.1379,0.0745,0.0886,0,0.0472,0.0491,0.3031,0.3383
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0
USH1C,0.032,0,0,0,0,0,0,0,0,0,0,0
OTOG,0,0,0,0,0,0,0,0,0,0,0,0
MYOD1,0,0,0,0,0,0,0,0,0,0,0,0
KCNC1,0,0.0121,0.0495,0.0213,0,0.0405,0.054,0.1533,0.0119,0,0.0145,0.0621
SERGEF,6.395,5.9989,5.5153,4.5918,2.0382,3.4317,4.1223,4.6946,4.3349,5.7072,3.9866,4.6649
TPH1,0,0,0,0,0,0.1399,0.0755,0.0785,0,0.0517,0.0304,0
SAAL1,4.8929,5.4857,4.3922,5.0969,2.7329,4.2317,3.1138,3.0736,4.2079,5.1379,4.9851,5.1266
SAA3P,0,0,0,0,0,0,0,0,0,0,0,0
MRGPRX3,0,0,0,0.1491,0,0,0,0,0,0,0,0
MRGPRX4,0,0,0,0,0,0,0,0,0,0,0,0
LOC494141,0,0,0,0,0,0,0.0708,0,0,0,0,0
SAA4,0,0,0,0,0,0,0,0,0,0,0,0
SAA2-SAA4,0,0,0,0,0,0,0,0,0,0,0,0
SAA2,0,0,0,0,0,0,0.0598,0,0,0.1409,0,0
SAA1,0,0,0,0,0,0,0,0,0.1519,0,0,0
HPS5,21.2409,24.8494,20.2138,14.9267,4.4501,3.1567,6.4086,2.4826,23.6049,40.8881,27.1857,15.1537
GTF2H1,16.8787,16.1295,17.4321,15.7069,1.2065,3.4338,6.9415,5.9889,16.0582,15.4368,16.338,10.1672
MI0014188,0,0,0,0,0,0,0,0,0,0,0,0
LDHA,93.6275,145.1035,104.8627,52.5671,108.1505,61.5967,67.5121,73.767,117.7561,101.7396,109.7652,148.7335
LDHC,0,0.8593,1.0582,0,0,0,0.419,0.273,0,0.4539,0.4352,0.1326
LDHAL6A,0.0348,0.0413,0.1388,0,0,0,0.0614,0,0,0.1682,0.0495,0.058
TSG101,21.2962,19.5279,22.2416,20.1585,15.3635,14.6532,14.5734,12.0774,20.4892,21.5268,21.2639,16.8552
UEVLD,11.245,13.5392,13.0668,8.9388,1.0758,4.1011,4.8564,3.0326,9.6778,12.9202,10.2528,8.2227
JA429845,0,0,0,0,0,0,0,0,0,0,0,0
SPTY2D1-AS1,0,0.0801,0.3622,0.2494,0.5296,0.5583,0.812,0.7585,0.0786,0,0.0487,0.3137
SPTY2D1,7.4596,7.557,7.2043,8.3758,11.8577,9.4913,13.7939,11.9722,6.9437,7.5001,7.2419,9.7218
TMEM86A,5.09,6.9145,6.6569,7.7438,3.3958,1.2409,2.1141,1.5111,7.1017,8.3154,8.6178,5.1865
IGSF22,0,0,0.0234,0.1466,0,0,0.031,0.037,0,0.0426,0.0754,0
PTPN5,0,0,0.0243,0,0,0.0336,0,0.0377,0,0,0,0
MRGPRX1,0,0,0,0,0,0,0,0,0,0,0,0
MRGPRX2,0,0,0,0.071,0,0,0,0,0,0,0,0
ZDHHC13,3.3408,3.2646,2.9338,3.1209,1.2494,1.0957,2.208,1.2297,3.8838,4.4467,4.6214,2.7497
CSRP3,0,0,0,0,0,0,0,0,0,0,0,0
E2F8,0.06,0,0.0327,0.0512,0,0,0.0433,0,0,0.0241,0.0142,0.1637
NAV2,0.0941,0.031,0.0304,0.1695,0.0178,0.0497,0.069,0,0.0303,0.0315,0.0093,0.0217
NAV2-AS5,0,0,0,0,0,0,0,0,0,0,0,0
NAV2-AS4,0,0,0,0.1055,0,0,0.0892,0,0,0,0,0
MI0016847,0,0,0,0,0,0,0,0,0,0,0,0
SNORA1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100126784,0.0185,0,0.0246,0.1333,0.2542,0.1019,0.098,0.0762,0,0.0224,0.0527,0.0617
MI0017327,0,0,0,0,0,0,0,0,0,0,0,0
DBX1,0,0,0,0,0,0,0,0,0,0,0,0
TRNA_18,0,0,0,0,0,0,0,0,0,0,0,0
HTATIP2,61.2285,56.2215,50.653,47.5108,7.6857,20.0845,23.187,16.7643,50.8845,49.1693,43.4508,46.8857
PRMT3,4.9463,3.7334,3.8534,4.8104,1.3828,2.9092,3.5121,3.3963,5.5376,4.7758,6.4825,5.2777
SLC6A5,0,0,0,0,0,0,0,0,0,0.0307,0,0.0424
NELL1,0,0,0,0,0,0,0,0,0,0,0,0
ANO5,0.1249,0.4572,0.235,0.9979,0.0285,0.5149,0.3667,0.5565,0.8099,1.6204,0.9092,1.8024
SLC17A6,0,0,0,0,0,0,0,0,0,0.0213,0.0126,0
FANCF,2.7654,3.5809,2.3928,3.3181,0.2297,0.9979,1.5872,1.4645,3.1626,3.4135,2.1426,2.8595
GAS2,0.0685,0.0407,0,0.1428,0,0,0.0603,0,0.1591,0.0413,0,0.057
SVIP,9.6326,9.0638,9.0808,14.0413,3.1471,10.0575,6.3312,6.1567,10.4321,11.2643,8.7199,8.889
CCDC179,0,0,0,0,0,0,0,0,0,0,0,0
MI0025890,0,0,0,0,0,0,0,0,0,0,0,0
endogenous retrovirus ERV9,0,0,0,0,0,0,0,0,0,0,0,0
LUZP2,0,0.0159,0.0356,0,0,0,0,0,0,0,0,0
ANO3,0,0,0.0169,0.0266,0,0,0.0225,0,0,0.0154,0,0
BC045791,0.0443,0,0,0,0,0,0,0,0,0,0,0
MUC15,0,0,0,0,0,0.0392,0,0,0,0,0,0
SLC5A12,0,0,0,0.0252,0,0.0222,0,0,0,0.051,0.0086,0
FIBIN,0,0,0,0.0481,0,0.0845,0.0813,0,0,0,0,0
BBOX1,0,0,0,0,0,0,0,0,0,0,0,0
CCDC34,1.1528,1.1473,1.1795,1.2664,0,0.3979,0.2471,0.3487,0.8685,1.0536,0.6308,1.7118
LGR4,4.9171,4.16,4.2814,4.075,0.7345,0.3681,1.0475,0.8262,5.6,5.7115,5.8835,3.8266
